id,content,IF,SHF,CD,Ch,SF,EF,SM,Op
40,所有的CSFB试呼全部失败，,0,1,0,0,0,0,0,0
41,5、  从测试信令看联合位置区更新可以完成，,0,0,0,0,0,0,1,0
42,ALD电流告警门限设置不合理导致射频单元ALD电流异常告警问题,0,1,0,0,1,0,0,0
43,发现终端在收到RRC重配置命令后一直上报重建立失败。,0,1,0,0,0,0,0,0
44,重新配置扇区天线后，,0,0,0,0,0,0,1,0
45,数据配置中添加小区、扇区数据配置出错,0,0,0,0,1,0,0,0
46,但是仍然ping不通。,0,1,0,0,0,0,0,0
47,发现渝北唐庄-HLH的VoLTE无线接通率 (QCI=1)不一致。,0,0,0,0,1,0,0,0
48,基站的时区设置错误，,0,0,0,0,1,0,0,0
49,TOP站点A切换出失败具有明显的TOP目标小区，,0,1,0,0,0,0,0,0
50,而导致切换失败。,0,1,0,0,0,0,0,0
51,容易导致用户占用较多。,0,1,0,0,0,0,0,0
52,东方红街GT12属于高铁小区且高速小区指示设置为“高速小区指示”，,0,0,0,0,0,0,1,0
53,即最大用户超400时会出现用户数规格受限导致的RRC建立失败。,0,1,0,0,1,0,0,0
54,单端Up并不能通信，,0,1,0,0,0,0,0,0
55,一个基站频繁出现主控板CPU过载。,0,1,0,0,0,0,0,0
56,图5 外部小区PLMN配置为共享PLMN,0,0,0,0,0,0,1,0
57,用户接入失败的原因是RRC被拒绝，,0,1,0,0,0,0,0,0
58,所以告警线接口接错，,0,1,0,0,0,0,0,0
59,是由于传输问题，,0,1,0,0,0,0,0,0
60,X值就设置为,0,0,0,0,0,0,1,0
61,某局点为增加寻呼成功率，,0,0,0,0,0,0,1,0
62,10月26日寻呼次数从1改为2后，,0,0,0,0,0,0,1,0
63,修改寻呼周期和寻呼次数，,0,0,0,0,0,0,1,0
64,QCI配置问题导致DRX不下发,0,1,0,0,1,0,0,0
65,（2）DRX策略模式“DrxPolicyMode”全网均配置为DEFAULT模式,0,0,0,0,0,0,1,0
66,但是QCI5没有开启DRX。,0,1,0,0,0,0,0,0
67,2、如果优先级最高的QCI没有配置DRX参数，,0,0,0,0,1,0,0,0
68,无线侧丢包,0,1,0,0,0,0,0,0
69,但修改成 15M 的 38325 （ 1880-1895MHz ）时，,0,0,0,0,0,0,1,0
70,RRU3158e-fa、RRU3158-fa等RRU支出调整为F频段15M的38325（与专网无重叠）来避免与高铁专网重叠覆盖干扰。,0,0,0,0,0,0,1,0
71,4.  修改RRU为TDL单模：,0,0,0,0,0,0,1,0
72,所以证明了是基站以上有丢包，,0,1,0,0,0,0,0,0
73,"从传输那里了解到H省的微波开局要求配置波道带宽为56M,",0,0,0,0,0,0,1,0
74,还配置了TDD小区和SDL小区；,0,0,0,0,0,0,1,0
75,新建基站上报“ALM-26262 时钟参考源异常”告警。,0,1,0,0,0,0,0,0
76,因此不能使用GPS时钟。,0,1,0,0,0,0,0,0
77,增加同步以太网时钟链路。,0,0,0,0,0,0,1,0
78,存在维护链路通道异常告警：,0,1,0,0,0,0,0,0
79,整改机柜。,0,0,0,0,0,0,1,0
80,避免现网不必要的RSSI不平衡告警。,0,1,0,0,0,0,0,0
81,提高天线覆盖区域,0,0,0,0,0,0,1,0
82,导致消息异常引起系统异常问题。,0,1,0,0,0,0,0,0
83,一线出问题的终端只能支持NULL算法。,0,1,0,0,0,0,0,0
84,基站处理上出现了问题。,0,1,0,0,0,0,0,0
85,由于一线不能回传数据日志。,0,1,0,0,0,0,0,0
86,设置允许空完整性保护算法 或者 完整性保护算法最高优先级不为NULL。,0,0,0,0,0,0,1,0
87,公司的地图资料不能保证所有国家、地市地图信息都能及时更新。,0,1,0,0,0,0,0,0
88,eNodeB ID和cell id可随便配置，,0,0,0,0,0,0,1,0
89,4、近端操作基站无法PING通下一跳，,0,1,0,0,0,0,0,0
90,DSP ETHPORT发现异常，,0,1,0,0,0,0,0,0
91,会概率性出现时钟锁相环不可用的情况。,0,1,0,0,0,0,0,0
92,同时2CC没有连续部署。,0,1,0,0,0,0,0,0
93,现代化改造 用4T4R天线替换现网2T2R天线和TDD 2CC CA连续部署。,0,0,0,0,0,0,1,0
94,1.2 CSI链表中用户无法释放 正常情况下，,0,1,0,0,0,0,0,0
95,导致开站失败，,0,1,0,0,0,0,0,0
96,基站一直上报驻波告警，,0,1,0,0,0,0,0,0
97,并未输入具体频率值，,0,1,0,0,0,0,0,0
98,4、修改L2100频率配置为：,0,0,0,0,0,0,1,0
99,因此切换失败主要在执行阶段。,0,1,0,0,0,0,0,0
100,根据切换失败发生的时间，,0,1,0,0,0,0,0,0
101,导致了切换失败。,0,1,0,0,0,0,0,0
102,从两两切换出话统看到TOP切换出失败小区均有对应TOP切入失败小区，,0,1,0,0,0,0,0,0
103,进而导致FMA工具无法将空口原因导致的呼叫建立失败归类到下面的“UpLink Wead Coverage”中：,0,1,0,0,0,0,0,0
104,所以需要更换光模块,0,0,0,0,0,0,1,0
105,即配置同步消息没有发送成功。,0,1,0,0,0,0,0,0
106,0x84c800b8 小结MML命令无法下发是由于单板启动过程中，,0,1,0,0,0,0,0,0
107,MRO文件中2G邻区信息异常记录,0,1,0,0,0,0,0,0
108,原因是掉话前CPE没有收到ulgrant，,0,1,0,0,0,0,0,0
109,并且有时钟异常告警，,0,1,0,0,0,0,0,0
110,问题描述 德国TMO需要承诺SRAN版本小区激活失败，,0,1,0,0,0,0,0,0
111,LTE小区没有检测到RRU(0-5-4)没有工作在自己的制式下，,0,1,0,0,0,0,0,0
112,2、小区数据配置不正确，,0,0,0,0,1,0,0,0
113,发现新EPC下TAC=20的站点全部无法附着；,0,1,0,0,0,0,0,0
114,原因是未知APN；,0,1,0,0,0,0,0,0
115,发现DNS未对通（设备dns在移动分组核心网中是解析ggsn地址、lac地址，,0,1,0,0,0,0,0,0
116,3、传输方面出现错误。,0,1,0,0,0,0,0,0
117,一线反馈站点SUPCC002本地小区31以及本地小区32由于射频单元时钟异常告警反复上报小区不可用告警。,0,1,0,0,0,0,0,0
118,发现alm-149“射频数字锁相环失锁告警”产生与恢复。,0,1,0,0,0,0,0,0
119,最终导致射频单元时钟异常告警。,0,1,0,0,0,0,0,0
120,导致RRU上报射频单元时钟异常告警最终导致小区不可用告警。,0,1,0,0,0,0,0,0
121,1.当配置“CPRI扩展”开关为打开时，,0,0,0,0,0,0,1,0
122,基站数据库Bit位硬失效导致数据语音高掉话,0,1,0,0,0,0,0,0
123,基站不发切换请求或切换命令消息，,0,1,0,0,0,0,0,0
124,修改后掉线指标及切换指标均恢复 下其他小区指标情况如下，,0,0,0,0,0,0,1,0
125,AAU供电不足导致SCGfailure,0,1,0,0,0,0,0,0
126,但数据配置存在不规范的问题即MMECAPINFO中的MME支持LTE能力参数配置问题存在问题，,0,0,0,0,1,0,0,0
127,发现RRN3201无法在信源B站点下小区附着。,0,1,0,0,0,0,0,0
128,比如更换F频段小区。,0,0,0,0,0,0,1,0
129,RF资源被副卡抢占（进行高优先级任务如移动LAU，,0,1,0,0,0,0,0,0
130,配置分支链环，,0,0,0,0,0,0,1,0
131,基站版本升级到12.1之后，,0,0,0,0,0,0,1,0
132,发现小区扇区设备里面6个小区对应的扇区编号配置错误，,0,0,0,0,1,0,0,0
133,但M2000上无法管理IPCLK，,0,1,0,0,0,0,0,0
134,方案1调整MR的上报周期，,0,0,0,0,0,0,1,0
135,73485825 对应的16进制是0x75a10101（CCEMCELLBASICMASTERBBIALLOCFAIL） 图4 小区6小区退服原因,0,1,0,0,0,0,0,0
136,安卓手机未收到问题反馈，,0,1,0,0,0,0,0,0
137,No. DateTime RSRP（××广场-终点站） 19 2019/8/1  11 21 27 -107.25 20 2019/8/1  11 21 28 -112.19 21 2019/8/1  11 21 30 -119.38 22 2019/8/1  11 21 30 -124.53 23 2019/8/1  11 21 32 -124.28 24 2019/8/1  11 21 33 -114.78 LTE弱覆盖导致终端掉到3G网络。,0,1,0,0,0,0,0,0
138,由于E微波设备的“最大帧长度”值设置过小，,0,0,0,0,1,0,0,0
139,将E微波设备的“最大帧长度”值设置为1800,0,0,0,0,0,0,1,0
140,切换完成命令丢失后导致的PUCCH没激活，,0,1,0,0,0,0,0,0
141,导致RRC重建失败。,0,1,0,0,0,0,0,0
142,当本开关配置为关时，,0,0,0,0,0,0,1,0
143,当本开关配置为开时，,0,0,0,0,0,0,1,0
144,基站根据收到的X2口协议消息自动更新邻区及外部小区相关配置；,0,0,0,0,0,0,1,0
145,PCI 299上报PCI 21无法切换：,0,1,0,0,0,0,0,0
146,导致代码混乱 2 当前版本质量问题,0,1,0,0,0,0,0,0
147,双模License分配不足,0,0,0,0,1,0,0,0
148,（2）依次更换光模块、光纤、RRU后，,0,0,0,0,0,0,1,0
149,5、现场修改参数为ON后解决。,0,0,0,0,0,0,1,0
150,上行子帧有毛刺：,0,1,0,0,0,0,0,0
151,仅仅交换正常RRU和问题RRU的天馈，,0,0,0,0,0,0,1,0
152,如果Listen探测再失败，,0,1,0,0,0,0,0,0
153,但不执行切换，,0,1,0,0,0,0,0,0
154,2月份在修改跟踪区配置时，,0,0,0,0,0,0,1,0
155,当时没有进行外部数据更新，,0,1,0,0,0,0,0,0
156,切换100%失败，,0,1,0,0,0,0,0,0
157,统计机制不同导致MML显示小区不可用后无告警上报,0,1,0,0,1,0,0,0
158,图2 话统统计存在小区不可用现象,0,1,0,0,0,0,0,0
159,不符合合法性，,0,0,0,0,1,0,0,0
160,BSC根据TMSI中的NRI无法找到对应MSC而出现业务失败的情况。,0,1,0,0,0,0,0,0
161,出现超大丢包时，,0,1,0,0,0,0,0,0
162,单板类型在版本映射表不存在(The board type does not exist in the version mapping table)。,0,1,0,0,0,0,0,0
163,独立调度可能引起不同RRU的互相干扰，,0,1,0,0,0,0,0,0
164,上报的UE支撑信息仅支持band,0,1,0,0,0,0,0,0
165,由于主叫仅支持band,0,1,0,0,0,0,0,0
166,若网络中存在窄带干扰，,0,1,0,0,0,0,0,0
167,2、异频切换执行门限A4的精细优化，,0,0,0,0,0,0,1,0
168,要求工程技术人员严格按照规划协商参数进行配置，,0,0,0,0,0,0,1,0
169,然后将对应的跳纤和光模块改插过去。,0,0,0,0,0,0,1,0
170,有个站点一直存在F频段小区每天有大量UE无应答而导致RRC连接建立失败次数，,0,1,0,0,0,0,0,0
171,C国A局点个别基站的X2链路频繁sctp闪断，,0,1,0,0,0,0,0,0
172,1、ping不通的IP，,0,1,0,0,0,0,0,0
173,同时现场修改基站数据，,0,0,0,0,0,0,1,0
174,更换了滤波天线后，,0,0,0,0,0,0,1,0
175,导致MME侧NAS层数据完整性校验失败。,0,1,0,0,0,0,0,0
176,而终端实际没有收到的问题。,0,1,0,0,0,0,0,0
177,核心网数据漏配导致LTE同频切换失败分析,0,1,0,0,1,0,0,0
178,发现UE从五环宾馆1小区（PCI79）往新华兆龙3小区（PCI74）发生切换失败，,0,1,0,0,0,0,0,0
179,基本可以判断由于MME CODE配置问题导致的切换失败：,0,1,0,0,1,0,0,0
180,L新华兆龙站点只配置了134,0,0,0,0,1,0,0,0
181,可能是由于 D1D2 未退频导致，,0,1,0,0,0,0,0,0
182,如果主控板时钟异常，,0,1,0,0,0,0,0,0
183,但是用户在修改了资源组带宽后，,0,0,0,0,0,0,1,0
184,在NodeB侧改带宽的话，,0,0,0,0,0,0,1,0
185,RRU内部任务吊死导致RRU无法接入用户,0,1,0,0,0,0,0,0
186,造成BSS和MSC过载。,0,1,0,0,0,0,0,0
187,导致该任务不再处理其他端口的连接请求。,0,1,0,0,0,0,0,0
188,1）将NB站点18类基线参数进行归一化设置，,0,0,0,0,0,0,1,0
189,基站名称 告警名称 告警数量 告警产生日期 告警定位信息 THTH金城HLHD1 用户面承载链路故障告警 1140 2015/8/12 业务类型=X,0,1,0,0,0,0,0,0
190,由于影响集团指标及用户感知，,0,1,0,0,0,0,0,0
191,降低远端用户的解调性能，,0,0,0,0,0,0,1,0
192,在参数修改前，,0,0,0,0,0,0,1,0
193,也是类似都修改了TimeAlignmentTimer为无穷。,0,0,0,0,0,0,1,0
194,如果定义错误该链环号就会产生ALM-26246 BBU CPRI线速率协商异常告警。,0,1,0,0,0,0,0,0
195,阻塞干扰严重，,0,1,0,0,0,0,0,0
196,测试速率在80Mbps左右，,1,0,0,0,0,0,0,0
197,现场测试速率低点有其他用户再进行调度，,1,0,0,0,0,0,0,0
198,怀疑邻区区,0,0,0,1,0,0,0,0
199,LTE电调告警案例分析,0,0,0,1,0,0,0,0
200,大容量集中切换场景信令风暴导致单通问题分析,0,1,0,0,0,0,0,0
201,一个Cluster在6月9日同步打开了aICIC和下行频选(DL FSS)后，,0,0,0,0,0,0,0,1
202,客户配置FCA方案，,0,0,0,0,0,0,1,0
203,支持NSA和SA的CPE打桩驻留SA方法,0,0,0,0,0,0,0,1
204,HD市D频段VoLTE低接入分析定位优化案例,0,1,0,0,0,0,0,0
205,修改RRU3152e帧偏置命令为：,0,0,0,0,0,0,1,0
206,默认寻呼周期参数修改改善Volte呼叫建立时延,0,0,0,0,0,0,1,0
207,但速率波动较大。,1,0,0,0,0,0,0,0
208,由于部分D频段基站的Gpsframeoffset设置不一致导致不同D频段基站之间形成干扰，,0,1,0,0,1,0,0,0
209,因RRU子帧配比错误导致LTE小区无法激活的问题处理,0,1,0,0,1,0,0,0
210,从而造成误删除邻区；,0,1,0,0,0,0,0,0
211,SrsCfgInd和FddSrsCfgMode修改会导致小区复位，,0,1,0,0,0,0,1,0
212,这样会导致邻区的下行干扰服务小区的SRS信号。,0,1,0,0,0,0,0,0
213,由于配置文件名不符合规则导致FTP下载配置文件失败的问题,0,1,0,0,1,0,0,0
214,从而导致小区不可用。,0,1,0,0,0,0,0,0
215,但由于ulMultiVlanSetFlag字段在2.8C00不存在，,0,1,0,0,0,0,0,0
216,而在3.3C00之后新增，,0,0,0,0,0,0,1,0
217,导致基带因为fftSize变化可能测不出来TA值。,0,1,0,0,0,0,0,0
218,时钟跑偏导致TD-LTE大面积受干扰,0,1,0,0,0,0,0,0
219,因而对周边基站造成的干扰。,0,1,0,0,0,0,0,0
220,客户路由配置问题导致基站到SGW链路不通,0,1,0,0,1,0,0,0
221,gNB未加载License且AMF侧数据缺失导致EPS FB失败案例,0,1,0,0,0,0,0,0
222,1、 gNB未加载互操作License导致不支持EPS FB呼叫；,0,1,0,0,0,0,0,0
223,告警定位信息的原因为“基带降额”。,0,0,0,0,1,0,0,0
224,都会导致eNodeB的证书申请失败，,0,1,0,0,0,0,0,0
225,还没有到证书的生效时间导致校验出错。,0,1,0,0,0,0,0,0
226,系统外干扰导致LTE室分信号干扰，,0,1,0,0,0,0,0,0
227,频率复用导致LTE室分信号干扰，,0,1,0,0,1,0,0,0
228,CIO设置不合理导致TOP站点F1F2负荷不均问题,0,0,0,0,1,0,0,0
229,切换与QCI1承载建立流程冲突导致基站不下发切换命令,0,1,0,0,0,0,0,0
230,是由于切换流程与QCI1承载建立流程冲突，,0,1,0,0,0,0,0,0
231,最终导致承载建立失败。,0,1,0,0,0,0,0,0
232,是由于基站侧无UE上下文信息，,0,1,0,0,0,0,0,0
233,基站无法识别UE身份导致的。,0,1,0,0,0,0,0,0
234,会导致两个载波的RRU补偿时延不一致，,0,0,0,0,1,0,0,0
235,Z省H市流程冲突导致VOLTE起呼CSFB案例,0,1,0,0,0,0,0,0
236,两个流程出现冲突导致专有承载被释放，,0,1,0,0,0,0,0,0
237,切换准备失败的原因为异站同频切换失败。,0,1,0,0,0,0,0,0
238,从而导致上行全部解调异常。,0,1,0,0,0,0,0,0
239,基站解调错误导致终端无法及时切换，,0,1,0,0,0,0,0,0
240,则会导致基站收到不同的时钟源信号，,0,1,0,0,0,0,0,0
241,多频点干扰导致重选延迟,0,1,0,0,0,0,0,0
242,但是在前面六次的LTECellReselection之后都没有进行RRC建立，,0,1,0,0,0,0,0,0
243,也有可能是信号受墙体阻挡导致的。,0,1,0,0,0,0,0,0
244,TAS问题导致VoLTE路测中接入失败,0,1,0,0,0,0,0,0
245,携带原因值为Failure in the Radio Interface Procedure导致QCI=1承载建立失败，,0,1,0,0,0,0,0,0
246,会由于UE状态异常而导致承载建立失败。,0,1,0,0,0,0,0,0
247,RRU未正确加载LTE制式版本组件导致LTE小区不可用,0,1,0,0,0,0,0,0
248,小区激活失败的直接原因是射频模块MRFU无LTE制式组件。,0,1,0,0,0,0,0,0
249,RRU未正确加载LTE制式版本组件导致LTE侧小区激活失败。,0,1,0,0,0,0,0,0
250,由于核心网能力导致部分UE无法附着网络的问题,0,1,0,0,0,0,0,0
251,会引起UE无法做业务而接入失败的现象。,0,1,0,0,0,0,0,0
252,导致部分UE因为无法附着该MME，,0,1,0,0,0,0,0,0
253,基站控制器回传数据未配置路由优先级导致数据收发端口不一致,0,0,0,0,1,0,0,0
254,该站点基带单板数据配置不规范导致概率性出现终端无法附着网络问题。,0,1,0,0,1,0,0,0
255,基带单板数据配置不规范导致。,0,0,0,0,1,0,0,0
256,修改E频段帧偏为285768之后，,0,0,0,0,0,0,1,0
257,由于异厂家核心网路由地址配置错误导致H省Y市与C市高铁边界小区不切换,0,1,0,0,1,0,0,0
258,SCTP链路故障告警的可能原因为核心网侧传输路由配置错误。,0,1,0,0,1,0,0,0
259,判断为该基站的核心网传输路由故障导致MME侧无法发送切换请求命令，,0,1,0,0,0,0,0,0
260,2、由于从路测数据看出切换存在问题，,0,1,0,0,0,0,0,0
261,该问题是由于eRAN8.1版本代码缺陷导致，,0,1,0,0,0,0,0,0
262,异厂商MME问题导致大量E-RAB建立失败,0,1,0,0,0,0,0,0
263,错误原因为E-RAB重用。,0,1,0,0,0,0,0,0
264,而且之前有过切换失败导致的重建消息，,0,1,0,0,0,0,0,0
265,导致安全模式之后的信令概率性完整性校验失败，,0,1,0,0,0,0,0,0
266,从而引发异常掉话，,0,1,0,0,0,0,0,0
267,RCU损坏导致电调天线未校准告警,0,1,0,0,0,0,0,0
268,RCU损坏导致电调天线校准失败,0,1,0,0,0,0,0,0
269,MME找不到目标小区珠江桥北26436712-HLH-2导致切换准备失败。,0,1,0,0,0,0,0,0
270,某局新建站点5G站点提示基带资源生效失败导致小区无法激活,0,1,0,0,0,0,0,0
271,友商基站配置错误导致三星终端在CA状态下切换失败问题,0,1,0,0,1,0,0,0
272,需要三星终端切换失败的原因。,0,1,0,0,0,0,0,0
273,此次用户投诉的主要原因为核心网频繁下发S1APRESET信令，,0,1,0,0,0,0,0,0
274,进而导致基站侧释放部分用户或是全部用户，,0,1,0,0,0,0,0,0
275,最终导致切换失败。,0,1,0,0,0,0,0,0
276,配置不当导致空闲态MLB未触发的问题分析（TC0002940668）  1.3.1,0,1,0,0,1,0,0,0
277,“异频邻区未选择成MLB可选邻区的原因”的值并不是一直都是图3所示的“负载差，,0,1,0,0,0,0,0,0
278,TL频段帧偏置开关未打开导致小区无法激活,0,1,0,0,1,0,0,0
279,GTPU资源申请失败原因为带宽资源申请失败，,0,1,0,0,0,0,0,0
280,NB站点由于S1ID配置错误导致终端不能注册到NB的核心网,0,1,0,0,1,0,0,0
281,MME ID配置错误导致，,0,0,0,0,1,0,0,0
282,但是在Altering之后就直接挂机。,0,1,0,0,0,0,0,0
283,客户网络漏配了CGI导致问题发生。,0,0,0,0,1,0,0,0
284,具体为什么只有部分手机无法通话的原因，,0,1,0,0,0,0,0,0
285,2019年5月6日 214650 由于基带板PID初始化阶段，,0,1,0,0,0,0,0,0
286,核心网未配置LAC和MSC的对应关系导致D2驻留4G失败,0,1,0,0,1,0,0,0
287,可以推测D2手机不能驻留在4G网络的原因是UE在CS域位置更新失败造成的，,0,1,0,0,0,0,0,0
288,是因为MIFI仅支持数据业务，,0,1,0,0,0,0,0,0
289,eNodeB ID与友商站点冲突导致站点小区建立异常,0,1,0,0,0,0,0,0
290,从基站的DEBUG日志中我们看到小区建立失败的原因有两个，,0,1,0,0,0,0,0,0
291,其中S1导致小区不可用的有62条，,0,1,0,0,0,0,0,0
292,而S1链路异常的原因，,0,1,0,0,0,0,0,0
293,可以确认是因为eNode B与友商站点的ID冲突导致的：,0,1,0,0,0,0,0,0
294,TDS-LTE双模站点由于TDS基带板与背板通信异常导致上报射频单元配置单不可用告警,0,1,0,0,0,0,0,0
295,定位信息显示原因为基带降额，,0,0,0,0,1,0,0,0
296,是内部的CRC/CP异常导致，,0,1,0,0,0,0,0,0
297,license文件同名导致下载失败,0,1,0,0,0,0,0,0
298,核心网nas重传定时器短导致NB-IoT终端attach reject,0,1,0,0,1,0,0,0
299,附着超时导致attach reject。,0,1,0,0,0,0,0,0
300,LTE邻区LAC配置错误导致SRVCC切换失败,0,1,0,0,1,0,0,0
301,TAC对应MSC/VLR数据配置错误导致CSFB终端无法附着,0,1,0,0,1,0,0,0
302,最终导致CSFB终端联合附着失败。,0,1,0,0,0,0,0,0
303,客户做了IP规划调整之后，,0,0,0,0,0,0,1,0
304,功率偏置配置错误导致CCE分配失败率高,0,0,0,0,1,0,0,0
305,可以看到大量的上行CCE分配失败是由于功率受限导致。,0,1,0,0,1,0,0,0
306,参数设置错误导致站点的RRC建立全部失败,0,1,0,0,1,0,0,0
307,失败原因均为UE无应答而导致RRC连接建立失败。,0,1,0,0,0,0,0,0
308,2、 UE无应答而导致RRC连接建立失败的次数,0,1,0,0,0,0,0,0
309,导致小区不可用的原因大致分为：,0,1,0,0,0,0,0,0
310,MOS管器件故障导致RRU模块大电流烧毁,0,1,0,0,0,0,0,0
311,具体分析结论为MOS管器件故障导致模块大电流烧毁，,0,1,0,0,0,0,0,0
312,器件零星失效导致。,0,1,0,0,0,0,0,0
313,导致站点DRA012和DRA091主要原因是IPPATH漏配两个UGW地址10.147.35.75和10.147.35.,0,0,0,0,1,0,0,0
314,导致发往两个IP地址的ERAB建立请求次数由于地址不可达，,0,1,0,0,0,0,0,0
315,故CPE配套版本不匹配导致5G无信号。,0,1,0,0,1,0,0,0
316,TDLTE-F频段小区频率偏移设置错误导致小区无法正常建立,0,1,0,0,1,0,0,0
317,差别在于特殊子帧配比方式不一致。,0,0,0,0,1,0,0,0
318,由于1588时钟异常导致站点产生干扰,0,1,0,0,0,0,0,0
319,交换单板之前是小区能够激活的原因：,0,0,0,0,0,0,1,0
320,而同时由于SCC AS 收不到主叫ACK ，,0,1,0,0,0,0,0,0
321,其中将近80%失败是因为RRC重发导致：,0,1,0,0,0,0,0,0
322,其中将近80%失败的原因是RRC重发。,0,1,0,0,0,0,0,0
323,网管上的基站名称与网元上的基站名称不一致导致license一键式工具上报MML文件缺失,0,1,0,0,1,0,0,0
324,Xn未配置会导致NR邻降功能不生效；,0,1,0,0,1,0,0,0
325,由于基站算法标志位错误导致睡眠小区问题,0,1,0,0,1,0,0,0
326,代码BUG导致如果基站在较短时间进行小区内部两次参数重配和更新，,0,1,0,0,0,0,1,0
327,最终导致UE无法入网。,0,1,0,0,0,0,0,0
328,覆盖空洞导致某局LTE站点高掉线问题的处理,0,1,0,0,0,0,0,0
329,变更失败原因是transport-resource-unavailable，,0,1,0,0,0,0,0,0
330,IP地址重复导致自动发现NodeB失败,0,1,0,0,1,0,0,0
331,DBS3900软件版本包未解压导致FTP下载软件版本失败,0,1,0,0,0,0,0,0
332,XX移动由于传输改造，,0,0,0,0,0,0,1,0
333,BTS3202E未配置路由模式导致下级级联基站OM通道异常,0,1,0,0,1,0,0,0
334,eNodeB1由于数据配置错误，,0,0,0,0,1,0,0,0
335,这样就会导致eNodeB1站从0号口（1.2.63.4）收到的报文无法转发到1号口（1.1.5.1），,0,1,0,0,0,0,0,0
336,CPRI链路不稳定会导致RRU短时间不可用，,0,1,0,0,0,0,0,0
337,进而导致小区降额建立，,0,1,0,0,0,0,0,0
338,由于告警未同步导致基站上报S1控制面传输中断告警未恢复,0,1,0,0,0,0,0,0
339,50/51/52分别表示切换失败、重配置失败和other失败导致的RRC重建。,0,1,0,0,1,0,0,0
340,重配置失败导致重建的类别分布如下图所示，,0,0,0,0,1,0,0,0
341,此问题是因为传输路由表配置异常，,0,0,0,0,1,0,0,0
342,J国Z运营商某新建LTE局点由于MME对SGW的下发选择机制配置错误原因导致UE无法上网,0,1,0,0,1,0,0,0
343,pRRU5931 IBW规格限制导致小区带宽配置超出RRU能力无法激活,0,1,0,0,1,0,0,0
344,pRRU IBW规格限制导致小区激活失败,0,1,0,0,1,0,0,0
345,切换策略修改之后，,0,0,0,0,0,0,1,0
346,邻区高话务拥塞导致切换失败；,0,1,0,0,0,0,0,0
347,站点存在干扰导致切换失败；,0,1,0,0,0,0,0,0
348,S1口相关IP链路配置数据错误导致切换失败；,0,1,0,0,1,0,0,0
349,直接导致切换准备失败。,0,1,0,0,0,0,0,0
350,由于软体BUG导致异系统邻区超配使得LTE小区无法被激活,0,1,0,0,1,0,0,0
351,"我们找到了导致OCL模组内存损坏的原因,",0,1,0,0,0,0,0,0
